	organism	seedid	kingdom	phylum	mclass	order	family	genus	oxygenstat	metabolism	gram	mtype	genes	reactions	metabolites	draftcreator	draftcreated	phenotype	imgid	ncbiid	platform	kbaseid
158	Escherichia_coli_SE11	Escherichia_coli_SE11_409438_11	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Facultative_anaerobe	Fermentative_or_respiratory_various_carbohydrates_amino_acids_and_TCA_cycle_intermediates_used	Negative	Commensal	1224	1805	1156	Eugen_Bauer	09_03_14	1.0	643348551.0	409438.0	Kbase	
159	Escherichia_coli_UTI89_UPEC	Escherichia_coli_UTI89_364106_8	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Facultative_anaerobe	Fermentative_or_respiratory_various_carbohydrates_amino_acids_and_TCA_cycle_intermediates_used	Negative	Pathogen	1313	1744	1128	Ines_Thiele	08_07_12	1.0	637000109.0	364106.0	Kbase	
160	Escherichia_sp_1_1_43	Escherichia_sp_1_1_43_457400_3	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Facultative_anaerobe	Fermentative_or_respiratory	Negative	Commensal	621	1127	867	Ines_Thiele	09_06_12	1.0	646206261.0	457400.0	Kbase	
161	Escherichia_sp_3_2_53FAA	Escherichia_sp_3_2_53FAA_469598_5	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Facultative_anaerobe	Fermentative_or_respiratory	Negative	Commensal	1331	1729	1122	Ines_Thiele	09_06_12	1.0	646206259.0	469598.0	Kbase	
162	Escherichia_sp_4_1_40B	Escherichia_sp_4_1_40B_457401_3	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Facultative_anaerobe	Fermentative_or_respiratory	Negative	Commensal	1267	1757	1137	Ines_Thiele	09_06_12	1.0	2562617151.0	457401.0	Kbase	
163	Eubacterium_biforme_DSM_3989	Eubacterium_biforme_DSM_3989_518637_5	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Commensal	576	830	729	Ines_Thiele	09_06_12	1.0	642979360.0	518637.0	Kbase	
164	Eubacterium_dolichum_DSM_3991	Eubacterium_dolichum_DSM_3991_428127_7	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	unclassified_Erysipelotrichaceae	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Commensal	541	774	678	Ines_Thiele	09_06_12	1.0	641380446.0	428127.0	Kbase	
165	Eubacterium_hallii_DSM_3353	Eubacterium_hallii_DSM_3353_411469_3	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Obligate_anaerobe	Saccharolytic_fermentative_acetate_and_lactate_converted_to_butyrate	Positive	Commensal	736	1053	869	Ines_Thiele	04_20_12	4.0	643886203.0	411469.0	Kbase	
166	Eubacterium_rectale_ATCC_33656	Eubacterium_rectale_DSM_17629_657318_4	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae	Obligate_anaerobe	Saccharolytic_fermentative_acetate_converted_to_butyrate	Positive	Commensal	699	1181	933	Eugen_Bauer	08_03_14	4.0	644736367.0	515619.0	Kbase	
167	Eubacterium_rectale_M104_1	Eubacterium_rectale_M104_1_657317_3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae	Obligate_anaerobe	Saccharolytic_fermentative_acetate_converted_to_butyrate	Positive	Commensal	707	1093	897	Ines_Thiele	04_20_12	4.0	650377937.0	657317.0	Kbase	
168	Eubacterium_siraeum_70_3	Eubacterium_siraeum_70_3_657319_3	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Commensal	550	840	717	Ines_Thiele	06_25_12	1.0	650377938.0	657319.0	Kbase	
169	Eubacterium_siraeum_DSM_15702	Eubacterium_siraeum_DSM_15702_428128_7	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Commensal	539	853	710	Ines_Thiele	09_06_12	3.0	641736184.0	428128.0	Kbase	
170	Eubacterium_ventriosum_ATCC_27560	Eubacterium_ventriosum_ATCC_27560_411463_4	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Commensal	589	975	814	Ines_Thiele	04_20_12	2.0	640963022.0	411463.0	Kbase	
171	Faecalibacterium_cf_prausnitzii_KLE1255	Faecalibacterium_cf_prausnitzii_KLE1255_748224_3	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Obligate_anaerobe	Saccharolytic_fermentative_acetate_converted_to_butyrate	Structurally_positive_but_stains_negative	Commensal	688	1027	837	Ines_Thiele	06_29_12	5.0	649989951.0	748224.0	Kbase	
172	Faecalibacterium_prausnitzii_L2_6	Faecalibacterium_prausnitzii_L2_6_718252_3	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Obligate_anaerobe	Saccharolytic_fermentative_acetate_converted_to_butyrate	Structurally_positive_but_stains_negative	Commensal	661	1008	825	Ines_Thiele	08_07_12	1.0	650377941.0	718252.0	Kbase	
173	Fusobacterium_gonidiaformans_ATCC_25563	Fusobacterium_gonidiaformans_ATCC_25563_469615_3	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate_anaerobe	Saccharolytic_proteolytic_fermentative	Negative	Commensal	542	961	815	Ines_Thiele	09_06_12	1.0	645951804.0	469615.0	Kbase	
174	Fusobacterium_gonidiaformans_3_1_5R	Fusobacterium_sp_3_1_5R_469605_3	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate_anaerobe	Saccharolytic_proteolytic_fermentative	Negative	Commensal	546	971	818	Ines_Thiele	06_29_12	2.0	645951866.0	469605.0	Kbase	
175	Fusobacterium_mortiferum_ATCC_9817	Fusobacterium_mortiferum_ATCC_9817_469616_3	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate_anaerobe	Saccharolytic_proteolytic_fermentative	Negative	Commensal	759	1183	916	Ines_Thiele	09_06_12	1.0	646206254.0	469616.0	ModelSEED	
176	Fusobacterium_necrophorum_D12	Fusobacterium_sp_D12_556263_3	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate_anaerobe	Saccharolytic_proteolytic_fermentative	Negative	Pathogen	629	1041	842	Ines_Thiele	09_06_12	1.0	2562617180.0	556263.0	ModelSEED	
177	Fusobacterium_nucleatum_subsp_animalis_3_1_33	Fusobacterium_sp_3_1_33_469603_3	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate_anaerobe	Saccharolytic_proteolytic_fermentative	Negative	Commensal	578	962	815	Ines_Thiele	06_29_12	1.0	2562617153.0	469603.0	Kbase	
178	Fusobacterium_nucleatum_subsp_animalis_7_1	Fusobacterium_sp_7_1_457405_3	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate_anaerobe	Saccharolytic_proteolytic_fermentative	Negative	Commensal	572	971	818	Ines_Thiele	09_06_12	3.0	646206252.0	457405.0	Kbase	
179	Fusobacterium_nucleatum_subsp_animalis_D11	Fusobacterium_sp_D11_556264_3	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate_anaerobe	Saccharolytic_proteolytic_fermentative	Negative	Commensal	595	967	817	Ines_Thiele	09_06_12	3.0	645058833.0	556264.0	Kbase	
180	Fusobacterium_nucleatum_subsp_vincentii_3_1_27	Fusobacterium_sp_3_1_27_469602_3	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate_anaerobe	Saccharolytic_proteolytic_fermentative	Negative	Commensal	577	1021	822	Ines_Thiele	06_29_12	3.0		469602.0	Kbase	
181	Fusobacterium_nucleatum_subsp_vincentii_3_1_36A2	Fusobacterium_nucleatum_subsp_vincentii_3_1_36A2_469604_7	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate_anaerobe	Saccharolytic_proteolytic_fermentative	Negative	Commensal	555	1093	867	Eugen_Bauer	08_03_14	1.0		469604.0	Kbase	
182	Fusobacterium_nucleatum_subsp_vincentii_4_1_13	Fusobacterium_sp_4_1_13_469606_3	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate_anaerobe	Saccharolytic_proteolytic_fermentative	Negative	Commensal	563	1014	819	Ines_Thiele	06_29_12	4.0	646206253.0	469606.0	ModelSEED	
183	Fusobacterium_periodonticum_1_1_41FAA	Fusobacterium_sp_1_1_41FAA_469621_3	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate_anaerobe	Saccharolytic_proteolytic_fermentative	Negative	Commensal	599	1006	844	Ines_Thiele	06_29_12	1.0	647533168.0	469621.0	ModelSEED	
184	Fusobacterium_periodonticum_2_1_31	Fusobacterium_sp_2_1_31_469599_3	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate_anaerobe	Saccharolytic_proteolytic_fermentative	Negative	Commensal	581	995	828	Ines_Thiele	09_06_12	1.0	646206262.0	469599.0	ModelSEED	
185	Fusobacterium_sp_4_8	Fusobacterium_nucleatum_subsp_animalis_4_8_469607_3	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate_anaerobe	Saccharolytic_proteolytic_fermentative	Negative	Commensal	551	991	815	Eugen_Bauer	08_03_14	1.0	2554235311.0	469607.0	ModelSEED	
186	Fusobacterium_ulcerans_ATCC_49185	Fusobacterium_ulcerans_ATCC_49185_469617_3	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate_anaerobe	Saccharolytic_proteolytic_fermentative	Negative	Commensal	844	1211	951	Ines_Thiele	09_06_12	1.0	2562617154.0	469617.0	ModelSEED	
187	Fusobacterium_varium_ATCC_27725	Fusobacterium_varium_ATCC_27725_469618_3	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate_anaerobe	Saccharolytic_proteolytic_fermentative	Negative	Commensal	847	1218	957	Ines_Thiele	09_06_12	4.0	646206275.0	469618.0	ModelSEED	
188	Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378	Gordonibacter_pamelaeae_7_10_1_b_657308_3	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Gordonibacter	Nanaerobe	Few_carbon_sources_used_fermentation_capabilities_undescribed	Positive	Commensal	643	937	788	Ines_Thiele	04_20_12	5.0	650377943.0	471189.0	Kbase	
189	Helicobacter_bilis_ATCC_43879	Helicobacter_bilis_ATCC_43879_613026_4	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Microaerophile	Strictly_respiratory_asaccharolytic	Negative	Opportunistic_pathogen	566	980	834	Ines_Thiele	09_06_12	5.0	2562617155.0	613026.0	Kbase	
190	Helicobacter_canadensis_MIT_98_5491	Helicobacter_canadensis_MIT_98_5491_Prj_30719_537970_9	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Microaerophile	Strictly_respiratory_asaccharolytic	Negative	Opportunistic_pathogen	522	1020	808	Eugen_Bauer	08_03_14	4.0	647533173.0	537970.0	Kbase	
191	Helicobacter_cinaedi_CCUG_18818	Helicobacter_cinaedi_CCUG_18818_537971_5	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Microaerophile	Strictly_respiratory_asaccharolytic	Negative	Opportunistic_pathogen	574	1042	831	Ines_Thiele	09_06_12	1.0	643886141.0	537971.0	Kbase	
192	Helicobacter_pullorum_MIT_98_5489	Helicobacter_pullorum_MIT_98_5489_537972_5	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Microaerophile	Strictly_respiratory_asaccharolytic	Negative	Opportunistic_pathogen	569	946	786	Ines_Thiele	09_06_12	4.0	643886218.0	537972.0	Kbase	
193	Helicobacter_pylori_26695	Helicobacter_pylori_26695_85962_8	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Microaerophile	Strictly_respiratory_glucose_is_oxidzed_but_no_other_sugar_is_used	Negative	Opportunistic_pathogen	473	1014	825	Ines_Thiele	08_07_12	1.0	637000132.0	85962.0	Kbase	
194	Helicobacter_winghamensis_ATCC_BAA_430	Helicobacter_winghamensis_ATCC_BAA_430_556267_4	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Microaerophile	Strictly_respiratory_asaccharolytic	Negative	Opportunistic_pathogen	532	939	792	Ines_Thiele	09_06_12	1.0	646206255.0	556267.0	ModelSEED	
195	Holdemania_filiformis_VPI_J1_31B_1_DSM_12042	Holdemania_filiformis_DSM_12042_545696_5	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Obligate_anaerobe	Saccharolytic_fermentative	Positive	Commensal	745	840	705	Ines_Thiele	09_06_12	3.0	643886103.0	61171.0	ModelSEED	
196	Klebsiella_pneumoniae_pneumoniae_MGH78578	Klebsiella_pneumoniae_subsp_pneumoniae_MGH_78578_272620_9	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	Facultative_anaerobe	Fermentative_or_respiratory_various_carbohydrates_used	Negative	Opportunistic_pathogen	1448	1801	1187	Ines_Thiele	08_07_12	3.0	640753032.0	1328388.0	Kbase	
197	Klebsiella_sp_1_1_55	Klebsiella_sp_1_1_55_469608_3	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	Facultative_anaerobe	Fermentative_or_respiratory	Negative	Opportunistic_pathogen	1577	1822	1195	Ines_Thiele	06_29_12	3.0	647533174.0	469608.0	Kbase	
198	Lachnospiraceae_bacterium_sp_5_1_63FAA	Lachnospiraceae_bacterium_5_1_63FAA_658089_3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae	Obligate_anaerobe	Uncharacterized	Uncharacterized	Uncharacterized	920	1078	931	Ines_Thiele	06_29_12	5.0	649989957.0	658089.0	Kbase	
199	Lachnospiraceae_bacterium_sp_8_1_57FAA	Lachnospiraceae_bacterium_8_1_57FAA_665951_3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified_Lachnospiraceae	Obligate_anaerobe	Uncharacterized	Uncharacterized	Uncharacterized	629	945	790	Ines_Thiele	06_29_12	5.0	649989958.0	665951.0	Kbase	
200	Lactobacillus_acidophilus_ATCC_4796	Lactobacillus_acidophilus_ATCC_4796_525306_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	542	756	625	Ines_Thiele	09_06_12	5.0	643886014.0	525306.0	Kbase	
201	Lactobacillus_acidophilus_NCFM	Lactobacillus_acidophilus_NCFM_272621_13	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	517	889	707	Eugen_Bauer	08_03_14	4.0	637000138.0	272621.0	Kbase	
202	Lactobacillus_amylolyticus_DSM_11664	Lactobacillus_amylolyticus_DSM_11664_585524_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Commensal	431	763	648	Ines_Thiele	06_29_12	2.0	647000263.0	585524.0	Kbase	
203	Lactobacillus_antri_DSM_16041	Lactobacillus_antri_DSM_16041_525309_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Commensal	621	1016	833	Ines_Thiele	09_06_12	1.0	645951838.0	525309.0	Kbase	
204	Lactobacillus_brevis_ATCC_367	Lactobacillus_brevis_ATCC_367_387344_15	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	566	1011	811	Ines_Thiele	06_25_12	1.0	639633027.0	387344.0	Kbase	
205	Lactobacillus_brevis_subsp_gravesensis_ATCC_27305	Lactobacillus_brevis_subsp_gravesensis_ATCC_27305_525310_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	848	1180	927	Ines_Thiele	09_06_12	1.0	643886059.0	525310.0	Kbase	
206	Lactobacillus_buchneri_ATCC_11577	Lactobacillus_buchneri_ATCC_11577_525318_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Commensal	805	1114	884	Ines_Thiele	09_06_12	1.0	643886062.0	525318.0	Kbase	
207	Lactobacillus_casei_ATCC_334	Lactobacillus_casei_ATCC_334_321967_11	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	682	1007	816	Ines_Thiele	06_25_12	1.0	639633028.0	321967.0	Kbase	
208	Lactobacillus_casei_casei_BL23	Lactobacillus_casei_BL23_543734_4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	780	1045	827	Ines_Thiele	06_25_12	4.0	642555134.0	543734.0	ModelSEED	
209	Lactobacillus_crispatus_125_2_CHN	Lactobacillus_crispatus_125_2_CHN_575595_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Commensal	536	736	630	Ines_Thiele	06_29_12	1.0	647533176.0	575595.0	ModelSEED	
210	Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_11842	Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_11842_390333_7	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	530	961	752	Eugen_Bauer	08_03_14	4.0	637000139.0	390333.0	ModelSEED	
211	Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_BAA_365	Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_BAA_365_321956_7	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	488	817	687	Ines_Thiele	06_25_12	2.0	639633029.0	321956.0	Kbase	
212	Lactobacillus_fermentum_ATCC_14931	Lactobacillus_fermentum_ATCC_14931_525325_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	612	975	810	Ines_Thiele	09_06_12	1.0	643886061.0	525325.0	Kbase	
213	Lactobacillus_fermentum_IFO_3956	Lactobacillus_fermentum_IFO_3956_334390_5	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	591	1067	872	Eugen_Bauer	08_03_14	4.0	641522633.0	334390.0	ModelSEED	
214	Lactobacillus_gasseri_ATCC_33323	Lactobacillus_gasseri_ATCC_33323_324831_13	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	452	885	711	Eugen_Bauer	08_03_14	5.0	639633030.0	324831.0	ModelSEED	
215	Lactobacillus_helveticus_DPC_4571	Lactobacillus_helveticus_DPC_4571_405566_6	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	514	954	764	Eugen_Bauer	08_03_14	4.0	641228495.0	405566.0	Kbase	
216	Lactobacillus_helveticus_DSM_20075	Lactobacillus_helveticus_DSM_20075_585520_4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	519	826	686	Ines_Thiele	09_06_12	3.0	645951865.0	585520.0	ModelSEED	
217	Lactobacillus_hilgardii_ATCC_8290	Lactobacillus_hilgardii_ATCC_8290_525327_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Commensal	767	1118	886	Ines_Thiele	09_06_12	1.0	643886044.0	1423757.0	ModelSEED	
218	Lactobacillus_johnsonii_DPC_6026	Lactobacillus_johnsonii_DPC_6026_909954_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	459	933	759	Eugen_Bauer	08_03_14	4.0	651053040.0	909954.0	Kbase	
219	Lactobacillus_johnsonii_NCC_533	Lactobacillus_johnsonii_NCC_533_257314_6	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	459	911	738	Eugen_Bauer	08_03_14	1.0	637000140.0	257314.0	Kbase	
220	Lactobacillus_paracasei_subsp_paracasei_8700_2	Lactobacillus_paracasei_subsp_paracasei_8700_2_537973_8	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	777	1024	826	Ines_Thiele	09_06_12	4.0	643886139.0	537973.0	ModelSEED	
221	Lactobacillus_paracasei_subsp_paracasei_ATCC_25302	Lactobacillus_paracasei_subsp_paracasei_ATCC_25302_525337_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	725	1012	821	Ines_Thiele	09_06_12	1.0	643886051.0	525337.0	ModelSEED	
222	Lactobacillus_plantarum_subsp_plantarum_ATCC_14917	Lactobacillus_plantarum_subsp_plantarum_ATCC_14917_525338_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	820	1145	884	Ines_Thiele	06_25_12	1.0	2562617181.0	525338.0	Kbase	
223	Lactobacillus_plantarum_JDM1	Lactobacillus_plantarum_JDM1_644042_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	801	1198	902	Eugen_Bauer	08_03_14	1.0	644736381.0	644042.0	Kbase	
224	Lactobacillus_plantarum_WCFS1	Lactobacillus_plantarum_WCFS1_220668_9	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	842	1213	922	Ines_Thiele	09_06_12	1.0	637000141.0	220668.0	Kbase	
225	Lactobacillus_reuteri_CF48_3A	Lactobacillus_reuteri_CF48_3A_525341_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	591	1006	836	Ines_Thiele	09_06_12	5.0	2502171173.0	525341.0	Kbase	
226	Lactobacillus_reuteri_F275_JCM_1112	Lactobacillus_reuteri_JCM_1112_557433_4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	567	993	813	Ines_Thiele	06_25_12	3.0	640427118.0	1598.0	Kbase	
227	Lactobacillus_reuteri_MM2_3	Lactobacillus_reuteri_MM2_3_585517_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	579	1030	843	Ines_Thiele	06_25_12	5.0	2502171171.0	585517.0	Kbase	
228	Lactobacillus_reuteri_MM4_1A	Lactobacillus_reuteri_MM4_1A_548485_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	577	1075	853	Ines_Thiele	06_25_12	3.0	2502171170.0	548485.0	Kbase	
229	Lactobacillus_reuteri_SD2112_ATCC_55730	Lactobacillus_reuteri_SD2112_491077_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	592	1010	835	Ines_Thiele	06_25_12	5.0	650716048.0	491077.0	Kbase	
230	Lactobacillus_rhamnosus_GG_ATCC_53103	Lactobacillus_rhamnosus_GG_Prj_40637_568703_30	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	769	1136	875	Eugen_Bauer	08_03_14	5.0	646862332.0	568703.0	Kbase	
231	Lactobacillus_rhamnosus_LMS2_1	Lactobacillus_rhamnosus_LMS2_1_525361_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	791	1037	836	Ines_Thiele	06_25_12	4.0	643886127.0	525361.0	Kbase	
232	Lactobacillus_ruminis_ATCC_25644	Lactobacillus_ruminis_ATCC_25644_525362_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Commensal	596	979	779	Ines_Thiele	06_25_12	3.0	2537562022.0	525362.0	Kbase	
233	Lactobacillus_sakei_subsp_sakei_23K	Lactobacillus_sakei_subsp_sakei_23K_314315_12	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative_anaerobe	Saccharolytic_respiratory_or_fermentative	Positive	Probiotic	527	1047	818	Eugen_Bauer	08_03_14	3.0	637000142.0	314315.0	Kbase	
