organism	seedid	kingdom	phylum	mclass	order	family	genus	oxygenstat	metabolism	gram	mtype	genes	reactions	metabolites	draftcreator	draftcreated	phenotype	imgid	ncbiid	platform	kbaseid
Fusobacterium nucleatum subsp. animalis 7_1	Fusobacterium sp. 7_1 (457405.3)	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate anaerobe	Saccharolytic, proteolytic, fermentative	Negative	Commensal	572	971	818	Ines Thiele	09/06/12	3	646206252	457405	Kbase	
Fusobacterium nucleatum subsp. animalis D11	Fusobacterium sp. D11 (556264.3)	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate anaerobe	Saccharolytic, proteolytic, fermentative	Negative	Commensal	595	967	817	Ines Thiele	09/06/12	3	645058833	556264	Kbase	
Fusobacterium nucleatum subsp. vincentii 3_1_27	Fusobacterium sp. 3_1_27 (469602.3)	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate anaerobe	Saccharolytic, proteolytic, fermentative	Negative	Commensal	577	1021	822	Ines Thiele	06/29/12	3	NA	469602	Kbase	
Fusobacterium nucleatum subsp. vincentii 3_1_36A2	Fusobacterium nucleatum subsp. vincentii 3_1_36A2 (469604.7)	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate anaerobe	Saccharolytic, proteolytic, fermentative	Negative	Commensal	555	1093	867	Eugen Bauer	08/03/14	1	NA	469604	Kbase	
Fusobacterium nucleatum subsp. vincentii 4_1_13	Fusobacterium sp. 4_1_13 (469606.3)	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate anaerobe	Saccharolytic, proteolytic, fermentative	Negative	Commensal	563	1014	819	Ines Thiele	06/29/12	4	646206253	469606	ModelSEED	
Fusobacterium periodonticum 1_1_41FAA	Fusobacterium sp. 1_1_41FAA (469621.3)	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate anaerobe	Saccharolytic, proteolytic, fermentative	Negative	Commensal	599	1006	844	Ines Thiele	06/29/12	1	647533168	469621	ModelSEED	
Fusobacterium periodonticum 2_1_31	Fusobacterium sp. 2_1_31 (469599.3)	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate anaerobe	Saccharolytic, proteolytic, fermentative	Negative	Commensal	581	995	828	Ines Thiele	09/06/12	1	646206262	469599	ModelSEED	
Fusobacterium sp. 4_8	Fusobacterium nucleatum subsp. animalis 4_8 (469607.3)	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate anaerobe	Saccharolytic, proteolytic, fermentative	Negative	Commensal	551	991	815	Eugen Bauer	08/03/14	1	2554235311	469607	ModelSEED	
Fusobacterium ulcerans ATCC 49185	Fusobacterium ulcerans ATCC 49185 (469617.3)	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate anaerobe	Saccharolytic, proteolytic, fermentative	Negative	Commensal	844	1211	951	Ines Thiele	09/06/12	1	2562617154	469617	ModelSEED	
Fusobacterium varium ATCC 27725	Fusobacterium varium ATCC 27725 (469618.3)	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Obligate anaerobe	Saccharolytic, proteolytic, fermentative	Negative	Commensal	847	1218	957	Ines Thiele	09/06/12	4	646206275	469618	ModelSEED	
Gordonibacter pamelaeae 7-10-1-bT, DSM 19378	Gordonibacter pamelaeae 7-10-1-b (657308.3)	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Gordonibacter	Nanaerobe	Few carbon sources used, fermentation capabilities undescribed	Positive	Commensal	643	937	788	Ines Thiele	04/20/12	5	650377943	471189	Kbase	
Helicobacter bilis ATCC 43879	Helicobacter bilis ATCC 43879 (613026.4)	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Microaerophile	Strictly respiratory, asaccharolytic	Negative	Opportunistic pathogen	566	980	834	Ines Thiele	09/06/12	5	2562617155	613026	Kbase	
Helicobacter canadensis MIT 98-5491	Helicobacter canadensis MIT 98-5491 (Prj:30719) (537970.9)	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Microaerophile	Strictly respiratory, asaccharolytic	Negative	Opportunistic pathogen	522	1020	808	Eugen Bauer	08/03/14	4	647533173	537970	Kbase	
Helicobacter cinaedi CCUG 18818	Helicobacter cinaedi CCUG 18818 (537971.5)	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Microaerophile	Strictly respiratory, asaccharolytic	Negative	Opportunistic pathogen	574	1042	831	Ines Thiele	09/06/12	1	643886141	537971	Kbase	
Helicobacter pullorum MIT 98-5489	Helicobacter pullorum MIT 98-5489 (537972.5)	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Microaerophile	Strictly respiratory, asaccharolytic	Negative	Opportunistic pathogen	569	946	786	Ines Thiele	09/06/12	4	643886218	537972	Kbase	
Helicobacter pylori 26695	Helicobacter pylori 26695 (85962.8)	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Microaerophile	Strictly respiratory, glucose is oxidzed but no other sugar is used	Negative	Opportunistic pathogen	473	1014	825	Ines Thiele	08/07/12	1	637000132	85962	Kbase	
Helicobacter winghamensis ATCC BAA-430	Helicobacter winghamensis ATCC BAA-430 (556267.4)	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Microaerophile	Strictly respiratory, asaccharolytic	Negative	Opportunistic pathogen	532	939	792	Ines Thiele	09/06/12	1	646206255	556267	ModelSEED	
Holdemania filiformis VPI J1-31B-1, DSM 12042	Holdemania filiformis DSM 12042 (545696.5)	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	745	840	705	Ines Thiele	09/06/12	3	643886103	61171	ModelSEED	
Klebsiella pneumoniae pneumoniae MGH78578	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 (272620.9)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	Facultative anaerobe	Fermentative or respiratory, various carbohydrates used	Negative	Opportunistic pathogen	1448	1801	1187	Ines Thiele	08/07/12	3	640753032	1328388	Kbase	
Klebsiella sp. 1_1_55	Klebsiella sp. 1_1_55 (469608.3)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	Facultative anaerobe	Fermentative or respiratory	Negative	Opportunistic pathogen	1577	1822	1195	Ines Thiele	06/29/12	3	647533174	469608	Kbase	
Lachnospiraceae bacterium sp. 5_1_63FAA	Lachnospiraceae bacterium 5_1_63FAA (658089.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified Lachnospiraceae	Obligate anaerobe	Uncharacterized	Uncharacterized	Uncharacterized	920	1078	931	Ines Thiele	06/29/12	5	649989957	658089	Kbase	
Lachnospiraceae bacterium sp. 8_1_57FAA	Lachnospiraceae bacterium 8_1_57FAA (665951.3)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified Lachnospiraceae	Obligate anaerobe	Uncharacterized	Uncharacterized	Uncharacterized	629	945	790	Ines Thiele	06/29/12	5	649989958	665951	Kbase	
Lactobacillus acidophilus ATCC 4796	Lactobacillus acidophilus ATCC 4796 (525306.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	542	756	625	Ines Thiele	09/06/12	5	643886014	525306	Kbase	
Lactobacillus acidophilus NCFM	Lactobacillus acidophilus NCFM (272621.13)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	517	889	707	Eugen Bauer	08/03/14	4	637000138	272621	Kbase	
Lactobacillus amylolyticus DSM 11664	Lactobacillus amylolyticus DSM 11664 (585524.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Commensal	431	763	648	Ines Thiele	06/29/12	2	647000263	585524	Kbase	
Lactobacillus antri DSM 16041	Lactobacillus antri DSM 16041 (525309.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Commensal	621	1016	833	Ines Thiele	09/06/12	1	645951838	525309	Kbase	
Lactobacillus brevis ATCC 367	Lactobacillus brevis ATCC 367 (387344.15)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	566	1011	811	Ines Thiele	06/25/12	1	639633027	387344	Kbase	
Lactobacillus brevis subsp. gravesensis ATCC 27305	Lactobacillus brevis subsp. gravesensis ATCC 27305 (525310.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	848	1180	927	Ines Thiele	09/06/12	1	643886059	525310	Kbase	
Lactobacillus buchneri ATCC 11577	Lactobacillus buchneri ATCC 11577 (525318.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Commensal	805	1114	884	Ines Thiele	09/06/12	1	643886062	525318	Kbase	
Lactobacillus casei ATCC 334	Lactobacillus casei ATCC 334 (321967.11)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	682	1007	816	Ines Thiele	06/25/12	1	639633028	321967	Kbase	
Lactobacillus casei casei BL23	Lactobacillus casei BL23 (543734.4)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	780	1045	827	Ines Thiele	06/25/12	4	642555134	543734	ModelSEED	
Lactobacillus crispatus 125-2-CHN	Lactobacillus crispatus 125-2-CHN (575595.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Commensal	536	736	630	Ines Thiele	06/29/12	1	647533176	575595	ModelSEED	
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 (390333.7)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	530	961	752	Eugen Bauer	08/03/14	4	637000139	390333	ModelSEED	
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365 (321956.7)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	488	817	687	Ines Thiele	06/25/12	2	639633029	321956	Kbase	
Lactobacillus fermentum ATCC 14931	Lactobacillus fermentum ATCC 14931 (525325.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	612	975	810	Ines Thiele	09/06/12	1	643886061	525325	Kbase	
Lactobacillus fermentum IFO 3956	Lactobacillus fermentum IFO 3956 (334390.5)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	591	1067	872	Eugen Bauer	08/03/14	4	641522633	334390	ModelSEED	
Lactobacillus gasseri ATCC 33323	Lactobacillus gasseri ATCC 33323 (324831.13)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	452	885	711	Eugen Bauer	08/03/14	5	639633030	324831	ModelSEED	
Lactobacillus helveticus DPC 4571	Lactobacillus helveticus DPC 4571 (405566.6)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	514	954	764	Eugen Bauer	08/03/14	4	641228495	405566	Kbase	
Lactobacillus helveticus DSM 20075	Lactobacillus helveticus DSM 20075 (585520.4)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	519	826	686	Ines Thiele	09/06/12	3	645951865	585520	ModelSEED	
Lactobacillus hilgardii ATCC 8290	Lactobacillus hilgardii ATCC 8290 (525327.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Commensal	767	1118	886	Ines Thiele	09/06/12	1	643886044	1423757	ModelSEED	
Lactobacillus johnsonii DPC 6026	Lactobacillus johnsonii DPC 6026 (909954.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	459	933	759	Eugen Bauer	08/03/14	4	651053040	909954	Kbase	
Lactobacillus johnsonii NCC 533	Lactobacillus johnsonii NCC 533 (257314.6)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	459	911	738	Eugen Bauer	08/03/14	1	637000140	257314	Kbase	
Lactobacillus paracasei subsp. paracasei 8700:2	Lactobacillus paracasei subsp. paracasei 8700:2 (537973.8)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	777	1024	826	Ines Thiele	09/06/12	4	643886139	537973	ModelSEED	
Lactobacillus paracasei subsp. paracasei ATCC 25302	Lactobacillus paracasei subsp. paracasei ATCC 25302 (525337.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	725	1012	821	Ines Thiele	09/06/12	1	643886051	525337	ModelSEED	
Lactobacillus plantarum subsp. plantarum ATCC 14917	Lactobacillus plantarum subsp. plantarum ATCC 14917 (525338.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	820	1145	884	Ines Thiele	06/25/12	1	2562617181	525338	Kbase	
Lactobacillus plantarum JDM1	Lactobacillus plantarum JDM1 (644042.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	801	1198	902	Eugen Bauer	08/03/14	1	644736381	644042	Kbase	
Lactobacillus plantarum WCFS1	Lactobacillus plantarum WCFS1 (220668.9)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	842	1213	922	Ines Thiele	09/06/12	1	637000141	220668	Kbase	
Lactobacillus reuteri CF48-3A 	Lactobacillus reuteri CF48-3A (525341.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	591	1006	836	Ines Thiele	09/06/12	5	2502171173	525341	Kbase	
Lactobacillus reuteri F275, JCM 1112	Lactobacillus reuteri JCM 1112 (557433.4)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	567	993	813	Ines Thiele	06/25/12	3	640427118	1598	Kbase	
Lactobacillus reuteri MM2-3 	Lactobacillus reuteri MM2-3 (585517.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	579	1030	843	Ines Thiele	06/25/12	5	2502171171	585517	Kbase	
Lactobacillus reuteri MM4-1A 	Lactobacillus reuteri MM4-1A (548485.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	577	1075	853	Ines Thiele	06/25/12	3	2502171170	548485	Kbase	
Lactobacillus reuteri SD2112, ATCC 55730	Lactobacillus reuteri SD2112 (491077.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	592	1010	835	Ines Thiele	06/25/12	5	650716048	491077	Kbase	
Lactobacillus rhamnosus GG, ATCC 53103	Lactobacillus rhamnosus GG (Prj:40637) (568703.30)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	769	1136	875	Eugen Bauer	08/03/14	5	646862332	568703	Kbase	
Lactobacillus rhamnosus LMS2-1	Lactobacillus rhamnosus LMS2-1 (525361.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	791	1037	836	Ines Thiele	06/25/12	4	643886127	525361	Kbase	
Lactobacillus ruminis ATCC 25644	Lactobacillus ruminis ATCC 25644 (525362.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Commensal	596	979	779	Ines Thiele	06/25/12	3	2537562022	525362	Kbase	
Lactobacillus sakei subsp. sakei 23K	Lactobacillus sakei subsp. sakei 23K (314315.12)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	527	1047	818	Eugen Bauer	08/03/14	3	637000142	314315	Kbase	
Lactobacillus salivarius HO66, ATCC 11741	Lactobacillus salivarius ATCC 11741 (525364.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	573	913	735	Ines Thiele	06/25/12	3	643886048	1624	Kbase	
Lactobacillus salivarius salivarius UCC118	Lactobacillus salivarius UCC118 (362948.14)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	575	921	738	Ines Thiele	06/25/12	5	NA	362948	Kbase	
Lactobacillus ultunensis DSM 16047	Lactobacillus ultunensis DSM 16047 (525365.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Commensal	556	908	741	Ines Thiele	06/25/12	1	643886047	525365	Kbase	
Laribacter hongkongensis HLHK9	Laribacter hongkongensis HLHK9 (557598.3)	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Laribacter	Facultative anaerobe	Asaccharolytic, nonfermentative	Negative	Pathogen	748	1263	986	Eugen Bauer	08/03/14	2	643692026	557598	Kbase	
Leuconostoc mesenteroides subsp. cremoris ATCC 19254	Leuconostoc mesenteroides subsp. cremoris ATCC 19254 (586220.3)	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Probiotic	583	871	735	Ines Thiele	06/25/12	1	643886109	586220	Kbase	
Listeria grayi DSM 20601	Listeria grayi DSM 20601 (525367.9)	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Commensal	809	1235	905	Ines Thiele	06/25/12	1	2562617157	525367	ModelSEED	
Listeria monocytogenes 4a L99		Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Pathogen	804	1281	961	Eugen Bauer	08/03/14	5	650377957	565047	ModelSEED	
Listeria monocytogenes 4b F2365	Listeria monocytogenes str. 4b F2365 (265669.9)	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Pathogen	819	1307	969	Eugen Bauer	08/03/14	1	637000154	265669	ModelSEED	
Listeria monocytogenes FSL R2-561	Listeria monocytogenes FSL R2-561 (393126.4)	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Pathogen	836	1305	967	Eugen Bauer	08/03/14	1	2511231184	393126	ModelSEED	
Listeria monocytogenes Finland 1988	Listeria monocytogenes Finland 1988 (393127.4)	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Pathogen	842	1308	969	Eugen Bauer	08/03/14	4	2511231203	393127	ModelSEED	
Listeria monocytogenes J0161, FSL R2-499	Listeria monocytogenes J0161 (393130.8)	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Pathogen	830	1306	967	Eugen Bauer	08/03/14	1	2511231190	393130	ModelSEED	
Listeria monocytogenes SLCC 2378	Listeria monocytogenes SLCC2378 (879088.3)	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Pathogen	825	1307	969	Eugen Bauer	08/03/14	1	2526164717	879088	ModelSEED	
Listeria monocytogenes SLCC 2540	Listeria monocytogenes SLCC2540 (879089.3)	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Pathogen	830	1308	968	Eugen Bauer	08/03/14	5	2526164720	879089	Kbase	
Listeria monocytogenes SLCC 7179	Listeria monocytogenes SLCC7179 (879090.3)	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Pathogen	821	1305	967	Eugen Bauer	08/03/14	5	2540341143	879090	Kbase	
Listeria monocytogenes serotype 7 SLCC 2482	Listeria monocytogenes serotype 7 str. SLCC2482 (1639.166)	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Facultative anaerobe	Saccharolytic, respiratory or fermentative	Positive	Pathogen	833	1305	968	Eugen Bauer	08/03/14	5	2561511150	863767	ModelSEED	
Marvinbryantia formatexigens I-52, DSM 14469	Bryantella formatexigens DSM 14469 (478749.5)	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia	Obligate anaerobe	Saccharolytic, fermentative, hydrogen used as energy source	Positive	Commensal	821	1042	848	Ines Thiele	04/20/12	1	2562617090	168384	Kbase	
Megamonas hypermegale ART12/1	Megamonas hypermegale ART12/1 (657316.3)	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megamonas	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	967	1102	881	Ines Thiele	06/25/12	1	650377958	657316	ModelSEED	
Methanobrevibacter smithii ATCC 35061	Methanobrevibacter smithii ATCC 35061 (420247.6)	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Obligate anaerobe	Uses carbon dioxide, hydrogen and formate as energy sources and acetate as carbon source	Positive	Commensal	405	699	648	Ines Thiele	06/29/12	NA	640427121	420247	Kbase	
Mitsuokella multacida DSM 20544	Mitsuokella multacida DSM 20544 (500635.8)	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Mitsuokella	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	747	1068	847	Ines Thiele	06/25/12	5	2562617158	500635	Kbase	
Odoribacter splanchnicus 1651/6, DSM 20712	Odoribacter splanchnicus DSM 20712 (709991.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter	Obligate anaerobe	Saccharolytic, fermentative	Negative	Commensal	688	1132	947	Eugen Bauer	08/03/14	1	649633078	28118	ModelSEED	
Oxalobacter formigenes HOxBLS	Oxalobacter formigenes HOxBLS (556268.6)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter	Obligate anaerobe	Asaccharolytic, uses oxalate as sole energy source	Negative	Probiotic	564	909	777	Ines Thiele	06/25/12	1	646206250	556268	ModelSEED	
Oxalobacter formigenes OXCC13	Oxalobacter formigenes OXCC13 (556269.4)	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter	Obligate anaerobe	Asaccharolytic, uses oxalate as sole energy source	Negative	Probiotic	582	939	796	Ines Thiele	06/25/12	3	646206265	556269	ModelSEED	
Parabacteroides distasonis ATCC 8503	Parabacteroides distasonis ATCC 8503 (435591.13)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	796	1347	1044	Eugen Bauer	08/03/14	3	640753039	435591	Kbase	
Parabacteroides johnsonii DSM 18315	Parabacteroides johnsonii DSM 18315 (537006.5)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	803	1282	980	Ines Thiele	04/20/12	1	642979358	537006	ModelSEED	
Parabacteroides merdae ATCC 43184	Parabacteroides merdae ATCC 43184 (411477.4)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	774	1303	990	Ines Thiele	04/20/12	1	640963016	411477	ModelSEED	
Parabacteroides sp. D13	Parabacteroides sp. D13 (563193.3)	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Nanaerobe	Saccharolytic, fermentative	Negative	Commensal	877	1212	984	Ines Thiele	06/29/12	4	646206279	563193	Kbase	
Parvimonas micra ATCC 33270	Parvimonas micra ATCC 33270 (411465.10)	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Parvimonas	Obligate anaerobe	Asaccharolytic, proteolytic, fermentative	Positive	Commensal	374	725	635	Ines Thiele	06/25/12	4	641380421	411465	ModelSEED	
